Title_of_book,Authors,Average_rating,Num_pages,Ratings_count
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,652,2095690
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,870,2153167
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,352,6333
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,435,2339585
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,2690,41428
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,152,19
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,3342,28242
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,3628
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,249558
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,215,4930
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,6,1266
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,2877
A Short History of Nearly Everything,Bill Bryson,4.21,544,248558
Bill Bryson's African Diary,Bill Bryson,3.44,55,7270
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,256,2088
In a Sunburned Country,Bill Bryson,4.07,335,72451
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,304,49240
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,299,45712
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,254,48701
Notes from a Small Island,Bill Bryson,3.91,324,80609
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,270,28489
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,1728,101233
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,1184,1710
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,398,2128944
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,1216,1618
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,218,19822
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,224,359
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,558,1430
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,208,270244
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,48,36
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,144,2067
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,56,6
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,228,99
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,304,167
Changeling (Changeling  #1),Delia Sherman,3.6,256,978
The Changeling Sea,Patricia A. McKillip,4.06,137,4454
The Changeling,Zilpha Keatley Snyder,4.17,228,1176
The Changeling,Kate Horsley,3.55,339,301
The Changeling (Daughters of England  #15),Philippa Carr,3.98,369,345
The Known World,Edward P. Jones,3.83,388,29686
The Known World,Edward P. Jones/Kevin R. Free,3.83,14,55
The Known World,Edward P. Jones,3.83,576,22
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,334,1456
Artesia: Adventures in the Known World,Mark Smylie,4.13,352,52
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,416,562
Uncommon Carriers,John McPhee,3.95,248,1630
Heirs of General Practice,John McPhee,4.17,128,268
The Control of Nature,John McPhee,4.24,288,3498
Annals of the Former World,John McPhee,4.34,720,3115
Coming Into the Country,John McPhee,4.22,448,5704
La Place de la Concorde Suisse,John McPhee,3.92,160,698
Giving Good Weight,John McPhee,4.23,288,542
Rising from the Plains,John McPhee,4.23,208,1341
The Heidi Chronicles,Wendy Wasserstein,3.75,81,1423
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,249,2766
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,138,31
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,128,62
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,192,860
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,108,77
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,352,153317
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,192,55
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,192,34
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,832,11797
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,123,34
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,128,78
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,423,2785
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,436,38778
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,331,97494
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,592,784
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,480,272
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,426,4789
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,471,45388
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,192,26153
